#,Team,sum,Matches,average
1,,Manchester United,1.435.063,19,75.530
2,,Arsenal FC,1.141.507,19,60.079
3,,Newcastle United,959.826,19,50.517
4,,Manchester City,892.506,19,46.974
5,,Liverpool FC,850.224,19,44.749
6,,Chelsea FC,787.786,19,41.462
7,,Sunderland AFC,770.344,19,40.544
8,,Everton FC,690.763,19,36.356
9,,Tottenham Hotspur,684.566,19,36.030
10,,Aston Villa,666.135,19,35.060
11,,West Ham United,659.677,19,34.720
12,,Southampton FC,586.602,19,30.874
13,,Stoke City,507.727,19,26.722
14,,Norwich City,506.762,19,26.672
15,,Fulham FC,482.492,19,25.394
16,,West Bromwich Albion,481.838,19,25.360
17,,Reading FC,453.378,19,23.862
18,,Swansea City,387.037,19,20.370
19,,Wigan Athletic,367.827,19,19.359
20,,Queens Park Rangers,337.808,19,17.779
,overall,13.649.868,380,35.921
