#,Team,sum,Matches,average
1,,Manchester United,1.046.547,19,55.081
2,,Liverpool FC,755.757,19,39.777
3,,Arsenal FC,718.603,19,37.821
4,,Newcastle United,692.866,19,36.467
5,,Everton FC,687.572,19,36.188
6,,Aston Villa,684.520,19,36.027
7,,Leeds United,610.235,19,32.118
8,,Tottenham Hotspur,590.276,19,31.067
9,,Middlesbrough FC,567.541,19,29.871
10,,Chelsea FC,524.722,19,27.617
11,,Sheffield Wednesday,488.565,19,25.714
12,,Blackburn Rovers,473.999,19,24.947
13,,Nottingham Forest,467.151,19,24.587
14,,West Ham United,440.971,19,23.209
15,,Sunderland AFC,398.497,19,20.974
16,,Leicester City,383.490,19,20.184
17,,Coventry City,372.560,19,19.608
18,,Derby County,339.885,19,17.889
19,,Wimbledon FC,287.637,19,15.139
20,,Southampton FC,286.986,19,15.105
,overall,10.818.380,380,28.469
